sensor1,sensor2,sensor3,sensor4,status
5.1,3.5,1.4,0.2,OK
4.9,3.0,1.4,0.2,OK
4.7,3.2,1.3,0.2,OK
4.6,3.1,1.5,0.2,OK
5.0,3.6,1.4,0.2,OK
5.4,3.9,1.7,0.4,OK
4.6,3.4,1.4,0.3,OK
5.0,3.4,1.5,0.2,OK
4.4,2.9,1.4,0.2,OK
4.9,3.1,1.5,0.1,OK
5.4,3.7,1.5,0.2,OK
4.8,3.4,1.6,0.2,OK
4.8,3.0,1.4,0.1,OK
4.3,3.0,1.1,0.1,OK
5.8,4.0,1.2,0.2,OK
5.7,4.4,1.5,0.4,OK
5.4,3.9,1.3,0.4,OK
5.1,3.5,1.4,0.3,OK
5.7,3.8,1.7,0.3,OK
5.1,3.8,1.5,0.3,OK
5.4,3.4,1.7,0.2,OK
5.1,3.7,1.5,0.4,OK
4.6,3.6,1.0,0.2,OK
5.1,3.3,1.7,0.5,OK
4.8,3.4,1.9,0.2,OK
5.0,3.0,1.6,0.2,OK
5.0,3.4,1.6,0.4,OK
5.2,3.5,1.5,0.2,OK
5.2,3.4,1.4,0.2,OK
4.7,3.2,1.6,0.2,OK
4.8,3.1,1.6,0.2,OK
5.4,3.4,1.5,0.4,OK
5.2,4.1,1.5,0.1,OK
5.5,4.2,1.4,0.2,OK
4.9,3.1,1.5,0.1,OK
5.0,3.2,1.2,0.2,OK
5.5,3.5,1.3,0.2,OK
4.9,3.1,1.5,0.1,OK
4.4,3.0,1.3,0.2,OK
5.1,3.4,1.5,0.2,OK
5.0,3.5,1.3,0.3,OK
4.5,2.3,1.3,0.3,OK
4.4,3.2,1.3,0.2,OK
5.0,3.5,1.6,0.6,OK
5.1,3.8,1.9,0.4,OK
4.8,3.0,1.4,0.3,OK
5.1,3.8,1.6,0.2,OK
4.6,3.2,1.4,0.2,OK
5.3,3.7,1.5,0.2,OK
5.0,3.3,1.4,0.2,OK
7.0,3.2,4.7,1.4,Problema
6.4,3.2,4.5,1.5,Problema
6.9,3.1,4.9,1.5,Problema
5.5,2.3,4.0,1.3,Problema
6.5,2.8,4.6,1.5,Problema
5.7,2.8,4.5,1.3,Problema
6.3,3.3,4.7,1.6,Problema
4.9,2.4,3.3,1.0,Problema
6.6,2.9,4.6,1.3,Problema
5.2,2.7,3.9,1.4,Problema
5.0,2.0,3.5,1.0,Problema
5.9,3.0,4.2,1.5,Problema
6.0,2.2,4.0,1.0,Problema
6.1,2.9,4.7,1.4,Problema
5.6,2.9,3.6,1.3,Problema
6.7,3.1,4.4,1.4,Problema
5.6,3.0,4.5,1.5,Problema
5.8,2.7,4.1,1.0,Problema
6.2,2.2,4.5,1.5,Problema
5.6,2.5,3.9,1.1,Problema
5.9,3.2,4.8,1.8,Problema
6.1,2.8,4.0,1.3,Problema
6.3,2.5,4.9,1.5,Problema
6.1,2.8,4.7,1.2,Problema
6.4,2.9,4.3,1.3,Problema
6.6,3.0,4.4,1.4,Problema
6.8,2.8,4.8,1.4,Problema
6.7,3.0,5.0,1.7,Problema
6.0,2.9,4.5,1.5,Problema
5.7,2.6,3.5,1.0,Problema
5.5,2.4,3.8,1.1,Problema
5.5,2.4,3.7,1.0,Problema
5.8,2.7,3.9,1.2,Problema
6.0,2.7,5.1,1.6,Problema
5.4,3.0,4.5,1.5,Problema
6.0,3.4,4.5,1.6,Problema
6.7,3.1,4.7,1.5,Problema
6.3,2.3,4.4,1.3,Problema
5.6,3.0,4.1,1.3,Problema
5.5,2.5,4.0,1.3,Problema
5.5,2.6,4.4,1.2,Problema
6.1,3.0,4.6,1.4,Problema
5.8,2.6,4.0,1.2,Problema
5.0,2.3,3.3,1.0,Problema
5.6,2.7,4.2,1.3,Problema
5.7,3.0,4.2,1.2,Problema
5.7,2.9,4.2,1.3,Problema
6.2,2.9,4.3,1.3,Problema
5.1,2.5,3.0,1.1,Problema
5.7,2.8,4.1,1.3,Problema
6.3,3.3,6.0,2.5,Alerta
5.8,2.7,5.1,1.9,Alerta
7.1,3.0,5.9,2.1,Alerta
6.3,2.9,5.6,1.8,Alerta
6.5,3.0,5.8,2.2,Alerta
7.6,3.0,6.6,2.1,Alerta
4.9,2.5,4.5,1.7,Alerta
7.3,2.9,6.3,1.8,Alerta
6.7,2.5,5.8,1.8,Alerta
7.2,3.6,6.1,2.5,Alerta
6.5,3.2,5.1,2.0,Alerta
6.4,2.7,5.3,1.9,Alerta
6.8,3.0,5.5,2.1,Alerta
5.7,2.5,5.0,2.0,Alerta
5.8,2.8,5.1,2.4,Alerta
6.4,3.2,5.3,2.3,Alerta
6.5,3.0,5.5,1.8,Alerta
7.7,3.8,6.7,2.2,Alerta
7.7,2.6,6.9,2.3,Alerta
6.0,2.2,5.0,1.5,Alerta
6.9,3.2,5.7,2.3,Alerta
5.6,2.8,4.9,2.0,Alerta
7.7,2.8,6.7,2.0,Alerta
6.3,2.7,4.9,1.8,Alerta
6.7,3.3,5.7,2.1,Alerta
7.2,3.2,6.0,1.8,Alerta
6.2,2.8,4.8,1.8,Alerta
6.1,3.0,4.9,1.8,Alerta
6.4,2.8,5.6,2.1,Alerta
7.2,3.0,5.8,1.6,Alerta
7.4,2.8,6.1,1.9,Alerta
7.9,3.8,6.4,2.0,Alerta
6.4,2.8,5.6,2.2,Alerta
6.3,2.8,5.1,1.5,Alerta
6.1,2.6,5.6,1.4,Alerta
7.7,3.0,6.1,2.3,Alerta
6.3,3.4,5.6,2.4,Alerta
6.4,3.1,5.5,1.8,Alerta
6.0,3.0,4.8,1.8,Alerta
6.9,3.1,5.4,2.1,Alerta
6.7,3.1,5.6,2.4,Alerta
6.9,3.1,5.1,2.3,Alerta
5.8,2.7,5.1,1.9,Alerta
6.8,3.2,5.9,2.3,Alerta
6.7,3.3,5.7,2.5,Alerta
6.7,3.0,5.2,2.3,Alerta
6.3,2.5,5.0,1.9,Alerta
6.5,3.0,5.2,2.0,Alerta
6.2,3.4,5.4,2.3,Alerta
5.9,3.0,5.1,1.8,Alerta

